"conflictID","ccode1","countryname1","ccode2","countryname2","direct","startyear","startyear_int","caplong_d","caplat_d","caplong_t","caplat_t","centlong_t","centlat_t"
141,520,"Somalia",530,"Ethiopia",0,1982,1982,45.366661,2.06667,38.77513,9.01393,39.5526820339844,9.27023160705334
141,520,"Somalia",531,"Eritrea",0,1982,2006,45.366661,2.06667,38.933331,15.33333,38.8623319185239,15.3578568808799
141,520,"Somalia",620,"Libya",0,1982,1982,45.366661,2.06667,13.18,32.8925,18.0808210484999,27.0306105097887
141,520,"Somalia",679,"Yemen",0,1982,2009,45.366661,2.06667,44.18333,15.28333,47.5816368734632,15.9141208955118
143,630,"Iran",645,"Iraq",1,1972,1986,51.42445,35.67194,44.39389,33.33861,43.8027529947413,33.0184363111168
144,630,"Iran",645,"Iraq",1,1979,1979,51.42445,35.67194,44.39389,33.33861,43.8027529947413,33.0184363111168
146,450,"Liberia",2,"United States",0,1980,1980,-10.80472,6.31056,-77.036667,38.895,-103.640410048066,44.7609206957458
146,450,"Liberia",437,"Côte d’Ivoire",0,1980,1989,-10.80472,6.31056,-5.283333,6.81667,-5.55548260157201,7.62910957858788
146,450,"Liberia",438,"Guinea",0,1980,2000,-10.80472,6.31056,-13.661917,9.55133,-10.9353462918251,10.4393724841209
146,450,"Liberia",439,"Burkina Faso",0,1980,1989,-10.80472,6.31056,-1.524722,12.37028,-1.74663680779591,12.2791637439779
146,450,"Liberia",620,"Libya",0,1980,1989,-10.80472,6.31056,13.18,32.8925,18.0808210484999,27.0306105097887
147,230,"Spain",615,"Algeria",0,1968,1978,-3.683333,40.4,3.050556,36.76305,2.64626100945807,28.0602264789536
147,230,"Spain",620,"Libya",0,1968,1979,-3.683333,40.4,13.18,32.8925,18.0808210484999,27.0306105097887
147,230,"Spain",660,"Lebanon",0,1968,1979,-3.683333,40.4,35.50972,33.87194,35.8855492792408,33.9187586745545
147,230,"Spain",680,"Yemen People's Republic",0,1968,1978,-3.683333,40.4,45.033333,12.8,49.1494024468946,16.011110085468
148,616,"Tunisia",620,"Libya",0,1980,1980,10.17972,36.80278,13.18,32.8925,18.0808210484999,27.0306105097887
150,560,"South Africa",40,"Cuba",0,1978,1981,28.229441,-25.70694,-82.364166,23.13194,-79.0060573773121,21.63604274683
150,560,"South Africa",265,"German Democratic Republic",0,1978,1981,28.229441,-25.70694,13.402665056,52.517831262,12.5303903794562,52.2378050609473
150,560,"South Africa",365,"Russia",0,1978,1981,28.229441,-25.70694,37.615551,55.75222,83.2911688428526,62.693581736296
150,560,"South Africa",510,"Tanzania",0,1978,1981,28.229441,-25.70694,35.741901,-6.173,34.8120528600382,-6.26293517976023
150,560,"South Africa",540,"Angola",1,1978,1981,28.229441,-25.70694,13.23444,-8.83833,17.5388800642708,-12.2725323412842
150,560,"South Africa",541,"Mozambique",1,1978,1981,28.229441,-25.70694,32.589169,-25.96528,35.6209408625921,-17.1822724732356
150,560,"South Africa",551,"Zambia",1,1978,1981,28.229441,-25.70694,28.283331,-15.41667,27.8319780094186,-13.4503711432758
152,750,"India",770,"Pakistan",0,1979,1992,77.199997,28.6,73.166656,33.7,69.2121879985305,29.9009259466381
152,750,"India",771,"Bangladesh",0,1979,1992,77.199997,28.6,90.408607,23.72305,90.2771059252873,23.8368218172237
157,780,"Sri Lanka",750,"India",0,1975,1984,79.847778,6.93194,77.199997,28.6,79.5675317584085,22.7743217646589
159,640,"Turkey",350,"Greece",1,1983,1993,32.864441,39.92722,23.73333,37.98333,22.9665174466605,39.0433528043431
159,640,"Turkey",630,"Iran",1,1983,1986,32.864441,39.92722,51.42445,35.67194,54.4662132478415,32.5233132592506
159,640,"Turkey",652,"Syria",1,1983,1984,32.864441,39.92722,36.299999,33.5,38.5010541596032,35.0182872572469
163,461,"Togo",439,"Burkina Faso",0,1986,1986,1.231362,6.1725,-1.524722,12.37028,-1.74663680779591,12.2791637439779
163,461,"Togo",452,"Ghana",0,1986,1986,1.231362,6.1725,-0.216667,5.55,-1.20752468751273,7.95396473321426
169,750,"India",770,"Pakistan",1,1984,1989,77.199997,28.6,73.166656,33.7,69.2121879985305,29.9009259466381
170,750,"India",710,"China",0,1983,1995,77.199997,28.6,116.388298,39.92889,103.395498724686,36.6912606154331
170,750,"India",770,"Pakistan",0,1983,1990,77.199997,28.6,73.166656,33.7,69.2121879985305,29.9009259466381
172,95,"Panama",2,"United States",0,1989,1989,-79.533333,8.96667,-77.036667,38.895,-103.640410048066,44.7609206957458
174,910,"Papua New Guinea",940,"Solomon Islands",1,1989,1996,147.192505,-9.46472,159.949997,-9.43333,159.625191220718,-8.92005294811878
177,432,"Mali",620,"Libya",0,1990,1990,-7.97491,12.61771,13.18,32.8925,18.0808210484999,27.0306105097887
179,517,"Rwanda",490,"Congo - Kinshasa",1,1990,1998,30.06056,-1.95361,15.315,-4.32972,23.6487459139095,-2.86426146082958
179,517,"Rwanda",500,"Uganda",1,1990,1990,30.06056,-1.95361,32.565559,0.31556,32.3858160266624,1.2796231150507
180,433,"Senegal",404,"Guinea-Bissau",1,1988,1990,-17.45528,14.70889,-15.580029,11.85877,-14.9649968446868,12.0309171724828
180,433,"Senegal",620,"Libya",0,1988,1990,-17.45528,14.70889,13.18,32.8925,18.0808210484999,27.0306105097887
180,433,"Senegal",645,"Iraq",0,1988,1990,-17.45528,14.70889,44.39389,33.33861,43.8027529947413,33.0184363111168
183,52,"Trinidad & Tobago",620,"Libya",0,1990,1990,-61.51667,10.65,13.18,32.8925,18.0808210484999,27.0306105097887
184,522,"Djibouti",531,"Eritrea",0,1991,1999,43.150575,11.57036,38.933331,15.33333,38.8623319185239,15.3578568808799
187,451,"Sierra Leone",439,"Burkina Faso",0,1991,1998,-13.23417,8.49,-1.524722,12.37028,-1.74663680779591,12.2791637439779
187,451,"Sierra Leone",450,"Liberia",1,1991,1997,-13.23417,8.49,-10.80472,6.31056,-9.30546230690587,6.44717744393694
187,451,"Sierra Leone",620,"Libya",0,1991,1991,-13.23417,8.49,13.18,32.8925,18.0808210484999,27.0306105097887
188,640,"Turkey",652,"Syria",0,1987,1991,32.864441,39.92722,36.299999,33.5,38.5010541596032,35.0182872572469
191,615,"Algeria",625,"Sudan",0,1985,1997,3.050556,36.76305,32.534168,15.58806,30.031564485525,13.7607574678782
